national_rank,shrid2,economic_growth_score,score_ntl,score_infra,score_housing,score_market,ntl_2019,ntl_2023,ntl_growth_ratio_capped,pc11_vd_t_p,pmay_density,pc11_state_id,pc11_district_id
1,11-06-075-00377-059543,91.45732977409533,98.92110221431332,84.99999999915,98.44444444346,72.99999999926999,3.4981370044179423,7.406491714079628,0.6253409184431926,9390.0,98.0,6,75
2,11-28-541-04755-579639,89.31185969235105,99.99999990192914,99.999999999,57.80929865978439,84.99999999915,0.7898484753616973,3.59523801928601,0.6363421259798077,4014.0,33.09692671394799,28,541
3,11-28-543-04838-583178,89.24985669380352,99.99999990192914,99.999999999,61.24928366700928,79.9999999992,0.9066591644590416,2.99960933110261,0.6363421259798077,5683.0,37.02005730659026,28,543
4,11-18-313-02082-294267,88.52575763803087,96.13018357001319,99.999999999,65.3684210519779,79.9999999992,2.1441653156192086,4.711211558764973,0.5968827285923981,1501.0,57.89473684210527,18,313
5,11-27-515-04137-548837,88.3362217973767,99.99999990192914,99.999999999,41.68110918502513,99.999999999,2.4864948602108914,6.611535848084027,0.6363421259798077,5934.0,3.032928942807626,27,515
6,11-32-597-05670-628159,88.00705131767789,99.99999990192914,99.999999999,40.03525678653113,99.999999999,0.2275903592670229,1.3234902085911626,0.6363421259798077,28718.0,0.05876131155247385,32,597
7,11-32-599-05682-628328,88.00321754978084,99.99999990192914,99.999999999,40.016087947045875,99.999999999,0.3726587340831193,1.7766283463396622,0.6363421259798077,19124.0,0.10725298297358896,32,599
8,11-18-321-02126-303394,87.99999996029167,99.99999990192914,99.999999999,39.9999999996,99.999999999,3.837848410480504,8.50696293187971,0.6363421259798077,3568.0,0.0,18,321
9,11-32-595-05657-627955,87.99999996029167,99.99999990192914,99.999999999,39.9999999996,99.999999999,3.9432564253704254,10.206934080436428,0.6363421259798077,25327.0,0.0,32,595
10,11-32-592-05644-627513,87.96813760566398,99.99999990192914,99.999999999,39.84068822646156,99.999999999,0.263569189949399,1.3927690429069095,0.6363421259798077,34016.0,0.0,32,592
11,11-32-593-05651-627691,87.6682242593604,99.99999990192914,99.999999999,38.341121494943685,99.999999999,0.3370449653020168,1.6719516956302478,0.6363421259798077,14429.0,0.40887850467289716,32,593
12,11-28-547-05019-589401,87.62539017881778,99.99999990192914,99.999999999,38.12695109223059,99.999999999,2.385946736711672,6.687827108710688,0.6363421259798077,6867.0,0.20811654526534862,28,547
13,11-21-372-02784-381681,87.55677286866262,99.99999990192914,74.99999999925,76.53386454106732,89.9999999991,11.342619991908355,24.2172698272,0.6363421259798077,2200.0,67.52988047808765,21,372
14,11-18-311-02072-292790,87.553587205646,99.99999990192914,99.999999999,37.76793622637165,99.999999999,0.4385524851477796,2.8376550979795394,0.6363421259798077,5223.0,0.70859167404783,18,311
15,11-27-526-04247-562179,87.49671136197199,97.34712775112206,79.9999999992,79.03930130925328,84.99999999915,4.893752407800911,9.839365187012328,0.6092915562787746,3905.0,71.61572052401746,27,526
16,11-32-593-05650-627670,87.3450289195047,98.44640681791242,99.999999999,39.83233096369863,99.999999999,0.2855928201062618,1.3910211578913176,0.6205005868413865,23581.0,0.0,32,593
17,11-08-110-00545-080091,87.29999996029866,99.99999990192914,94.99999999905,42.749999999572495,99.999999999,3.537539014077768,7.93379387007369,0.6363421259798077,4301.0,6.25,8,110
18,11-27-531-04302-568705,87.00709215888315,99.99999990192914,99.999999999,35.03546099255745,99.999999999,2.1108924362404395,4.977406166296669,0.6363421259798077,5424.0,0.7092198581560284,27,531
19,11-28-538-04584-575757,86.91627363291916,98.94346186125917,79.9999999992,80.44444444363998,74.99999999925,0.9324321944292028,2.6123131437470235,0.6255689132932327,1816.0,73.33333333333333,28,538
20,11-21-376-02875-389472,86.78979794197154,94.32223921705763,89.9999999991,57.80451127761744,99.999999999,1.7627417980089706,3.926709075669068,0.5784476431623164,2738.0,37.89473684210527,21,376
21,11-32-593-05651-627706,86.75984409484057,99.99999990192914,94.99999999905,40.04922067228204,99.999999999,1.3515329040758557,3.583956001371865,0.6363421259798077,20973.0,0.2461033634126333,32,593
22,11-32-597-05671-628180,86.75973824393158,99.99999990192914,94.99999999905,40.04869141773707,99.999999999,0.3748654052061838,1.602583718000372,0.6363421259798077,19589.0,0.08115236356258876,32,597
23,11-08-127-00667-102078,86.51015264940823,98.08890621486634,94.99999999905,42.6229508192459,99.999999999,2.298973376314373,5.113299101581926,0.6168552566365681,4472.0,5.245901639344262,8,127
24,11-32-600-05687-628421,85.93501712698571,94.83892537085559,99.999999999,39.99723489521733,99.999999999,0.3548407368464253,1.4288066650949036,0.5837161423670814,28864.0,0.013825521913452233,32,600
25,11-08-119-00612-092188,85.90466662697928,99.99999990192914,99.999999999,40.7733333329256,84.99999999915,1.2365332539354994,3.6994020216629018,0.6363421259798077,7610.0,3.0666666666666664,8,119
26,11-10-236-01494-255300,85.78096770224934,99.99999990192914,99.999999999,40.15483870927587,84.99999999915,11.557997408145924,23.306741128030872,0.6363421259798077,6759.0,0.7741935483870968,10,236
27,11-27-521-04193-556314,85.77638585605058,93.81596464133271,99.999999999,52.499999999475,84.99999999915,6.156375251530969,11.696024472593296,0.5732853078065243,19239.0,37.5,27,521
28,11-28-541-04757-579683,85.68571424602908,99.99999990192914,89.9999999991,59.678571427974646,74.99999999925,1.2557631836994776,3.36969651319981,0.6363421259798077,3825.0,32.857142857142854,28,541
29,11-08-130-00690-106740,85.65894815497755,99.99999990192914,94.99999999905,49.54474097281695,79.9999999992,2.532231562200875,6.341704661061937,0.6363421259798077,2998.0,19.78021978021978,8,130
30,11-28-538-04584-575756,85.61213677172654,80.784012403732,99.999999999,66.49265905316868,99.999999999,1.5171417604645236,2.9099566909940107,0.440402261694972,7329.0,45.02446982055465,28,538
31,11-27-505-04033-536076,85.56977131203082,99.99999990192914,99.999999999,39.09885675818332,84.99999999915,2.359363558289276,11.199840119488108,0.6363421259798077,5250.0,1.546738399462004,27,505
32,11-27-522-04203-557526,85.55621114044033,99.99999990192914,99.999999999,39.03105590023081,84.99999999915,1.706898099527422,4.874326575026132,0.6363421259798077,10932.0,6.666666666666667,27,522
33,11-27-526-04251-562565,85.50764083901764,99.99999990192914,89.9999999991,40.03820439310487,99.999999999,1.4073495541080492,3.88380304863541,0.6363421259798077,4785.0,0.19102196752626552,27,526
34,11-21-380-02938-397397,85.46666662698367,99.99999990192914,89.9999999991,39.833333332935,99.999999999,0.0,0.9172262211182914,0.6363421259798077,440.0,7.5,21,380
35,11-32-592-05643-627505,85.46409572910083,96.80024870478368,94.99999999905,39.969981237874215,99.999999999,0.032311374744033,0.8879952090668584,0.6037151888852272,26456.0,0.0,32,592
36,11-10-235-01479-253043,85.4387764925353,98.18027456582575,79.9999999992,63.33333333269998,89.9999999991,5.9069358518192,11.81111323753258,0.617786913273449,1195.0,66.66666666666666,10,235
37,11-27-506-04039-536949,85.34470145701222,99.49756114774748,89.9999999991,40.22838499144111,99.999999999,1.834932108565628,4.329390573358613,0.6312189033863793,5044.0,0.38064165307232195,27,506
38,11-33-612-05760-635145,85.34301408904665,99.99999990192914,89.9999999991,39.21507064324991,99.999999999,0.4250565943982556,1.9334609672366727,0.6363421259798077,5746.0,0.15698587127158556,33,612
39,11-32-600-05685-628375,85.30337957009077,93.47802062607231,99.999999999,39.560856600309194,99.999999999,0.7428945403205982,2.081408046524917,0.5698393904685676,28471.0,0.02710761724044456,32,600
